image_filename,게시물수,팔로워수,팔로잉수,촬영 구도,사진 종류,소품,대학교,색감_분위기_통합,고유한 특징
wonny_snap_01.jpg,611,1063,658,반신샷,독사진,"학사모,악기","연세대,이화여대","기쁨, 따뜻한, 선명한, 우아한","자연스러운 포즈, 배경과의 조화"
wamelforyouth_01.jpg,65,187,2,"근접샷,전신샷",독사진,"학사모,꽃다발","이화여대,서울대,중앙대","밝은, 자연스러운",포근함
the_margot_pic_01.jpg,983,2125,1235,전신샷,독사진,"학사모,꽃다발",숙명여대,"경쾌한, 밝은, 선명한","자연 속에서 촬영, 졸업 테마"
springsnap__01.jpg,83,1255,1067,"근접샷,반신샷",독사진,"학사모,인형",이화여대,"밝은, 화사한",자연광 활용
soy_snap__01.jpg,274,957,602,반신샷,독사진,"학사모,인형",고려대,"경쾌한, 선명한",자연스러움
sodam.snap_01.jpg,614,3299,882,반신샷,독사진,"학사모,인형,꽃다발","연세대,고려대","기쁨, 밝은, 화사한","자연스러운 미소, 선명한 색채"
slooow_poto_01.jpg,227,5068,475,"근접샷,반신샷",독사진,학사모,서울대,"경쾌한, 밝은",구조물 배경
sky_u_snap_01.jpg,21,964,21,"반신샷,전신샷",독사진,"학사모,인형",이화여대,"밝은, 자연광",따뜻함
shuura_film_02.jpg,379,783,203,"근접샷,반신샷",독사진,"학사모,인형",상명대,"따뜻한, 자연스러운",부드러운 조명
shuura_film_01.jpg,379,783,203,반신샷,독사진,"학사모,꽃다발","서울대,이화여대","경쾌한, 기념, 부드러운, 자연광","야외 촬영, 자연스러움"
river2_snap_01.jpg,298,448,68,반신샷,독사진,"학사모,인형,꽃다발",연세대,"기쁨, 밝은, 성취감, 자연스러운","자연 배경, 교복"
photouniv_yoo_02.jpg,62,293,147,전신샷,독사진,"학사모,꽃다발",건국대,"기념, 밝은, 부드러운","자연 배경, 건물 중심"
photouniv_yoo_01.jpg,62,293,147,"근접샷,반신샷",독사진,"인형,꽃다발",고려대,"부드러운, 상쾌한",자연광 사용
photouniv_wj_02.jpg,145,1022,689,반신샷,독사진,꽃다발,중앙대,"깨끗한, 밝은, 자연광, 화사한",부드러운 색채
photouniv_wj_01.jpg,145,1022,689,반신샷,"우정사진,독사진","꽃다발,인형",서울대,"기념, 따뜻한, 밝은, 행복","자연광 사용, 인물 중심"
photouniv_sy_02.jpg,126,974,609,"근접샷,반신샷",독사진,"꽃다발,인형",고려대,"따뜻한, 밝은, 화사한",부드러운 빛
photouniv_sy_01.jpg,126,974,609,"반신샷,전신샷",독사진,"학사모,인형",연세대,"기쁨, 밝은, 부드러운, 차분한",자연광 활용
photo_yoonvel_01.jpg,270,1251,455,"반신샷,전신샷",독사진,"인형,꽃다발",서울대,"밝은, 부드러운",자연스러움
odeforlove_01.jpg,199,2258,385,"근접샷,반신샷",독사진,학사모,없음,"기쁨, 따뜻한, 밝은, 부드러운","자연광 사용, 부드러운 색조"
nung2_photo_01.jpg,74,733,367,반신샷,독사진,"학사모,인형","연세대,이화여대","기념, 밝은, 생생한, 행복","자연 배경, 캐주얼한 느낌"
namyosnap_01.jpg,189,949,4,"근접샷,전신샷","커플사진,독사진","학사모,꽃다발",연세대,"경쾌한, 밝은, 선명한",자연을 배경으로 함
