image_filename,게시물수,팔로워수,팔로잉수,촬영 구도,사진 종류,반려동물,색감_분위기_통합,고유한 특징
_girinee_01.jpg,187,6666,278,반신샷,독사진,없음,"로맨틱한, 부드러운, 자연스러운, 차분한","자연광 활용, 계절감 느껴짐"
a_meifilm_01.jpg,30,817,712,반신샷,"우정사진,가족사진",없음,"밝은, 상쾌한",교복
camengzzi_01.jpg,528,2.6만,251,"반신샷,전신샷","독사진,가족사진",없음,"따뜻한, 편안한, 행복",자연광 사용
a_meifilm_02.jpg,30,817,712,"근접샷,반신샷","우정사진,독사진",없음,"감성적, 부드러운, 상쾌한, 자연스러운","클로즈업, 자연광 활용"
a_meifilm_03.jpg,30,817,712,"근접샷,전신샷","우정사진,독사진",없음,"감성적, 부드러운, 자연스러운, 청량한","아날로그 필터 느낌, 자연광 활용"
a_meifilm_04.jpg,30,817,712,"근접샷,반신샷",독사진,없음,"부드럽고 따뜻한, 자연스러운, 편안한","인물 중심, 아늑한 느낌"
albin_snap_01.jpg,87,1153,355,반신샷,독사진,없음,"부드러운, 빈티지",아날로그 느낌
bbakkjji_01.png,1807,8830,905,"근접샷,반신샷",독사진,없음,"감성적, 부드러운, 자연스러운, 차분한","간결함, 미니멀리즘"
camengzzi_01.jpg,528,2.6만,251,"반신샷,전신샷","독사진,가족사진",없음,"따뜻한, 편안한, 행복",자연광 사용
chaeleeshfilm_03.jpg,49,278,82,반신샷,커플사진,강아지,"따뜻한, 자연스러운","일상적, 감성적"
chaeleeshfilm_04.jpg,49,278,82,반신샷,커플사진,강아지,"따뜻한, 로맨틱한, 부드러운, 편안한",자연광 활용
dareum_mihak_01.jpg,243,4459,975,"반신샷,근접샷",독사진,없음,"감성적, 따뜻한, 빈티지, 자연스러운, 포근한","일상적 감성, 소프트 포커스"
dearness.pic_01.jpg,376,2696,569,"반신샷,근접샷",독사진,없음,"따뜻한, 부드러운, 아늑한, 편안한","아티스틱, 감성적인"
dearness.pic_02.jpg,376,2696,569,반신샷,독사진,없음,"따뜻한, 부드러운, 아늑한, 편안한","빈티지 무드, 따스한 일상"
eddey_film_03.jpg,84,1089,431,반신샷,독사진,없음,"감성적, 따뜻한, 몽환적, 부드러운","흐릿한 초점, 빛의 활용"
eddey_film_04.jpg,84,1089,431,"반신샷,전신샷",커플사진,없음,"감성적, 따뜻한, 로맨틱한, 소프트한","흐릿한 효과, 반사 사용"
ehoomarchive_02.jpg,266,723,70,"반신샷,전신샷",커플사진,없음,"따뜻한, 부드러운, 자연스러운, 친밀한","일상적, 감성적"
ehoomarchive_03.jpg,266,723,70,반신샷,"우정사진,독사진",없음,"따뜻한, 자연스러운, 차분한, 흑백","자연광 사용, 일상적인 순간 포착"
